"tweet_id"	"airline_sentiment"	"airline_sentiment_confidence"	"negativereason"	"negativereason_confidence"	"airline"	"airline_sentiment_gold"	"name"	"negativereason_gold"	"retweet_count"	"text"	"tweet_coord"	"tweet_created"	"tweet_location"	"user_timezone"
570306133677760512	"neutral"	1	NA	NA	"Virgin America"	NA	"cairdin"	NA	0	"@VirginAmerica What @dhepburn said."	NA	"2015-02-24 11:35:52 -0800"	NA	"Eastern Time (US & Canada)"
570301130888122368	"positive"	0.3486	NA	0	"Virgin America"	NA	"jnardino"	NA	0	"@VirginAmerica plus you've added commercials to the experience... tacky."	NA	"2015-02-24 11:15:59 -0800"	NA	"Pacific Time (US & Canada)"
570301083672813568	"neutral"	0.6837	NA	NA	"Virgin America"	NA	"yvonnalynn"	NA	0	"@VirginAmerica I didn't today... Must mean I need to take another trip!"	NA	"2015-02-24 11:15:48 -0800"	"Lets Play"	"Central Time (US & Canada)"
570301031407624192	"negative"	1	"Bad Flight"	0.7033	"Virgin America"	NA	"jnardino"	NA	0	"@VirginAmerica it's really aggressive to blast obnoxious \"entertainment\" in your guests' faces &amp; they have little recourse"	NA	"2015-02-24 11:15:36 -0800"	NA	"Pacific Time (US & Canada)"
570300817074462720	"negative"	1	"Can't Tell"	1	"Virgin America"	NA	"jnardino"	NA	0	"@VirginAmerica and it's a really big bad thing about it"	NA	"2015-02-24 11:14:45 -0800"	NA	"Pacific Time (US & Canada)"
570300767074181120	"negative"	1	"Can't Tell"	0.6842	"Virgin America"	NA	"jnardino"	NA	0	"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"	NA	"2015-02-24 11:14:33 -0800"	NA	"Pacific Time (US & Canada)"
570300616901320704	"positive"	0.6745	NA	0	"Virgin America"	NA	"cjmcginnis"	NA	0	"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)"	NA	"2015-02-24 11:13:57 -0800"	"San Francisco CA"	"Pacific Time (US & Canada)"
570300248553349120	"neutral"	0.634	NA	NA	"Virgin America"	NA	"pilot"	NA	0	"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"	NA	"2015-02-24 11:12:29 -0800"	"Los Angeles"	"Pacific Time (US & Canada)"
570299953286942720	"positive"	0.6559	NA	NA	"Virgin America"	NA	"dhepburn"	NA	0	"@virginamerica Well, I didn't…but NOW I DO! :-D"	NA	"2015-02-24 11:11:19 -0800"	"San Diego"	"Pacific Time (US & Canada)"
570295459631263744	"positive"	1	NA	NA	"Virgin America"	NA	"YupitsTate"	NA	0	"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."	NA	"2015-02-24 10:53:27 -0800"	"Los Angeles"	"Eastern Time (US & Canada)"
570294189143031808	"neutral"	0.6769	NA	0	"Virgin America"	NA	"idk_but_youtube"	NA	0	"@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24"	NA	"2015-02-24 10:48:24 -0800"	"1/1 loner squad"	"Eastern Time (US & Canada)"
570289724453216256	"positive"	1	NA	NA	"Virgin America"	NA	"HyperCamiLax"	NA	0	"@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D"	NA	"2015-02-24 10:30:40 -0800"	"NYC"	"America/New_York"
570289584061480960	"positive"	1	NA	NA	"Virgin America"	NA	"HyperCamiLax"	NA	0	"@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p"	NA	"2015-02-24 10:30:06 -0800"	"NYC"	"America/New_York"
570287408438120448	"positive"	0.6451	NA	NA	"Virgin America"	NA	"mollanderson"	NA	0	"@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn"	NA	"2015-02-24 10:21:28 -0800"	NA	"Eastern Time (US & Canada)"
570285904809598976	"positive"	1	NA	NA	"Virgin America"	NA	"sjespers"	NA	0	"@VirginAmerica Thanks!"	NA	"2015-02-24 10:15:29 -0800"	"San Francisco, CA"	"Pacific Time (US & Canada)"
570282469121007616	"negative"	0.6842	"Late Flight"	0.3684	"Virgin America"	NA	"smartwatermelon"	NA	0	"@VirginAmerica SFO-PDX schedule is still MIA."	NA	"2015-02-24 10:01:50 -0800"	"palo alto, ca"	"Pacific Time (US & Canada)"
570277724385734656	"positive"	1	NA	NA	"Virgin America"	NA	"ItzBrianHunty"	NA	0	"@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo"	NA	"2015-02-24 09:42:59 -0800"	"west covina"	"Pacific Time (US & Canada)"
570276917301137408	"negative"	1	"Bad Flight"	1	"Virgin America"	NA	"heatherovieda"	NA	0	"@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!"	NA	"2015-02-24 09:39:46 -0800"	"this place called NYC"	"Eastern Time (US & Canada)"
570270684619923456	"positive"	1	NA	NA	"Virgin America"	NA	"thebrandiray"	NA	0	"I <U+2764><U+FE0F> flying @VirginAmerica. <U+263A><U+FE0F><U+0001F44D>"	NA	"2015-02-24 09:15:00 -0800"	"Somewhere celebrating life."	"Atlantic Time (Canada)"
570267956648792064	"positive"	1	NA	NA	"Virgin America"	NA	"JNLpierce"	NA	0	"@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you."	NA	"2015-02-24 09:04:10 -0800"	"Boston | Waltham"	"Quito"
570265883513384960	"negative"	0.6705	"Can't Tell"	0.3614	"Virgin America"	NA	"MISSGJ"	NA	0	"@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???"	NA	"2015-02-24 08:55:56 -0800"	NA	NA
570264145116819456	"positive"	1	NA	NA	"Virgin America"	NA	"DT_Les"	NA	0	"@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA"	"[40.74804263, -73.99295302]"	"2015-02-24 08:49:01 -0800"	NA	NA
570259420287868928	"positive"	1	NA	NA	"Virgin America"	NA	"ElvinaBeck"	NA	0	"@VirginAmerica I love the hipster innovation. You are a feel good brand."	NA	"2015-02-24 08:30:15 -0800"	"Los Angeles"	"Pacific Time (US & Canada)"
570258822297579520	"neutral"	1	NA	NA	"Virgin America"	NA	"rjlynch21086"	NA	0	"@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?"	NA	"2015-02-24 08:27:52 -0800"	"Boston, MA"	"Eastern Time (US & Canada)"
570256553502068736	"negative"	1	"Customer Service Issue"	0.3557	"Virgin America"	NA	"ayeevickiee"	NA	0	"@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... <U+0001F621> I want free internet"	NA	"2015-02-24 08:18:51 -0800"	"714"	"Mountain Time (US & Canada)"
570249102404923392	"negative"	1	"Customer Service Issue"	1	"Virgin America"	NA	"Leora13"	NA	0	"@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response."	NA	"2015-02-24 07:49:15 -0800"	NA	NA
570239632807370752	"negative"	1	"Can't Tell"	0.6614	"Virgin America"	NA	"meredithjlynn"	NA	0	"@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail"	NA	"2015-02-24 07:11:37 -0800"	NA	NA
570217831557677056	"neutral"	0.6854	NA	NA	"Virgin America"	NA	"AdamSinger"	NA	0	"@VirginAmerica do you miss me? Don't worry we'll be together very soon."	NA	"2015-02-24 05:44:59 -0800"	"San Francisco, CA"	"Central Time (US & Canada)"
570207886493782016	"negative"	1	"Bad Flight"	1	"Virgin America"	NA	"blackjackpro911"	NA	0	"@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS"	"[42.361016, -71.02000488]"	"2015-02-24 05:05:28 -0800"	"San Mateo, CA & Las Vegas, NV"	NA
570124596180955136	"neutral"	0.615	NA	0	"Virgin America"	NA	"TenantsUpstairs"	NA	0	"@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix"	"[33.94540417, -118.4062472]"	"2015-02-23 23:34:30 -0800"	"Brooklyn"	"Atlantic Time (Canada)"
570114021854212096	"negative"	1	"Flight Booking Problems"	1	"Virgin America"	NA	"jordanpichler"	NA	0	"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems <U+0001F622>"	NA	"2015-02-23 22:52:29 -0800"	NA	"Vienna"
570094701371469824	"neutral"	1	NA	NA	"Virgin America"	NA	"JCervantezzz"	NA	0	"@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?"	NA	"2015-02-23 21:35:43 -0800"	"California, San Francisco"	"Pacific Time (US & Canada)"
